min_frequency,consistency_threshold,promoted_count,promoted_candidates
3,0.60,2,"[""quiet_corner"", ""wet_gloves""]"
3,0.61,2,"[""quiet_corner"", ""wet_gloves""]"
3,0.62,2,"[""quiet_corner"", ""wet_gloves""]"
3,0.63,2,"[""quiet_corner"", ""wet_gloves""]"
3,0.64,2,"[""quiet_corner"", ""wet_gloves""]"
3,0.65,2,"[""quiet_corner"", ""wet_gloves""]"
3,0.66,2,"[""quiet_corner"", ""wet_gloves""]"
3,0.67,2,"[""quiet_corner"", ""wet_gloves""]"
3,0.68,2,"[""quiet_corner"", ""wet_gloves""]"
3,0.69,2,"[""quiet_corner"", ""wet_gloves""]"
3,0.70,2,"[""quiet_corner"", ""wet_gloves""]"
3,0.71,2,"[""quiet_corner"", ""wet_gloves""]"
3,0.72,2,"[""quiet_corner"", ""wet_gloves""]"
3,0.73,2,"[""quiet_corner"", ""wet_gloves""]"
3,0.74,2,"[""quiet_corner"", ""wet_gloves""]"
3,0.75,2,"[""quiet_corner"", ""wet_gloves""]"
3,0.76,1,"[""wet_gloves""]"
3,0.77,1,"[""wet_gloves""]"
3,0.78,1,"[""wet_gloves""]"
3,0.79,1,"[""wet_gloves""]"
3,0.80,1,"[""wet_gloves""]"
3,0.81,1,"[""wet_gloves""]"
3,0.82,1,"[""wet_gloves""]"
3,0.83,1,"[""wet_gloves""]"
3,0.84,1,"[""wet_gloves""]"
3,0.85,1,"[""wet_gloves""]"
3,0.86,1,"[""wet_gloves""]"
3,0.87,1,"[""wet_gloves""]"
3,0.88,1,"[""wet_gloves""]"
3,0.89,1,"[""wet_gloves""]"
3,0.90,1,"[""wet_gloves""]"
3,0.91,1,"[""wet_gloves""]"
3,0.92,1,"[""wet_gloves""]"
3,0.93,1,"[""wet_gloves""]"
3,0.94,1,"[""wet_gloves""]"
3,0.95,1,"[""wet_gloves""]"
3,0.96,1,"[""wet_gloves""]"
3,0.97,1,"[""wet_gloves""]"
3,0.98,1,"[""wet_gloves""]"
3,0.99,1,"[""wet_gloves""]"
3,1.00,1,"[""wet_gloves""]"
4,0.00,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
4,0.01,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
